Date,Open,High,Low,Close,Adj Close,Volume
7/7/2023,3.980000019,4,3.980000019,3.900000095,3.84,2900
10/7/2023,3.960000038,3.960000038,3.900000095,3.900000095,3.84,12200
11/7/2023,3.940000057,4.039999962,3.940000057,3.940000057,3.87,6600
12/7/2023,3.940000057,4.059999943,3.900000095,3.960000038,3.89,27100
13/7/2023,3.980000019,3.980000019,3.960000038,3.980000019,3.91,11800
14/7/2023,4.039999962,4.039999962,3.900000095,3.980000019,3.91,12100
17/7/2023,3.980000019,4,3.920000076,3.960000038,3.89,32900
18/7/2023,3.960000038,4,3.859999895,3.960000038,3.89,24500
19/7/2023,4,4,3.940000057,3.980000019,3.91,5300
20/7/2023,3.980000019,3.980000019,3.900000095,3.920000076,3.85,9100
21/7/2023,3.920000076,3.960000038,3.859999895,3.920000076,3.85,23200
24/7/2023,3.900000095,3.900000095,3.880000114,3.859999895,3.80,11500
25/7/2023,3.940000057,3.940000057,3.859999895,3.859999895,3.80,23800
26/7/2023,3.880000114,3.940000057,3.839999914,3.880000114,3.82,26900
27/7/2023,3.880000114,3.880000114,3.799999952,3.799999952,3.74,34600
31/7/2023,3.839999914,3.839999914,3.839999914,3.839999914,3.78,2700
2/8/2023,3.859999895,3.859999895,3.819999933,3.819999933,3.76,11300
3/8/2023,3.859999895,3.859999895,3.220000029,3.799999952,3.74,38500
4/8/2023,3.700000048,3.799999952,3.660000086,3.799999952,3.74,45800
7/8/2023,3.720000029,3.799999952,3.640000105,3.74000001,3.68,19000
8/8/2023,3.799999952,3.799999952,3.619999886,3.74000001,3.68,20600
9/8/2023,3.640000105,3.74000001,3.640000105,3.720000029,3.66,14800
10/8/2023,3.680000067,3.779999971,3.640000105,3.700000048,3.64,10500
11/8/2023,3.700000048,3.75999999,3.660000086,3.720000029,3.66,13400
15/8/2023,3.720000029,3.859999895,3.720000029,3.799999952,3.74,13100
16/8/2023,3.74000001,3.839999914,3.74000001,3.799999952,3.74,1800
17/8/2023,3.75999999,3.799999952,3.660000086,3.700000048,3.64,23900
18/8/2023,3.700000048,3.700000048,3.599999905,3.680000067,3.62,47600
21/8/2023,3.680000067,3.700000048,3.640000105,3.680000067,3.62,18400
22/8/2023,3.640000105,3.700000048,3.640000105,3.680000067,3.62,12300
23/8/2023,3.680000067,3.700000048,3.680000067,3.700000048,3.64,10600
24/8/2023,3.700000048,3.700000048,3.680000067,3.720000029,3.66,17800
25/8/2023,3.700000048,3.799999952,3.700000048,3.74000001,3.68,20200
28/8/2023,3.74000001,3.900000095,3.74000001,3.880000114,3.82,54900
29/8/2023,3.880000114,3.920000076,3.880000114,3.920000076,3.85,28500
30/8/2023,3.960000038,4,3.960000038,4,3.93,57300
31/8/2023,4,4,3.920000076,3.920000076,3.85,23700
1/9/2023,4,4,3.900000095,3.900000095,3.84,5600
4/9/2023,3.700000048,3.900000095,3.700000048,3.900000095,3.84,2200
5/9/2023,3.880000114,3.920000076,3.880000114,3.880000114,3.82,5300
6/9/2023,3.900000095,3.900000095,3.859999895,4.619999886,4.54,3500
7/9/2023,3.900000095,4,3.900000095,3.980000019,3.91,143400
8/9/2023,4,4,3.940000057,3.940000057,3.87,36400
11/9/2023,3.980000019,3.980000019,3.900000095,3.900000095,3.84,30000
12/9/2023,3.900000095,3.900000095,3.799999952,3.859999895,3.80,31700
13/9/2023,3.799999952,3.819999933,3.779999971,3.799999952,3.74,30300
14/9/2023,3.819999933,3.839999914,3.799999952,3.819999933,3.76,12600
15/9/2023,3.799999952,3.819999933,3.799999952,3.819999933,3.76,2700
18/9/2023,3.880000114,3.880000114,3.799999952,3.859999895,3.80,5400
19/9/2023,3.839999914,3.859999895,3.839999914,3.839999914,3.78,4800
20/9/2023,3.75999999,3.920000076,3.75999999,3.819999933,3.76,7700
21/9/2023,3.799999952,3.799999952,3.700000048,3.74000001,3.68,87300
22/9/2023,3.799999952,3.799999952,3.720000029,3.75999999,3.70,9000
25/9/2023,3.75999999,3.799999952,3.75999999,3.75999999,3.70,3600
26/9/2023,3.75999999,3.799999952,3.75999999,3.75999999,3.70,3900
27/9/2023,3.75999999,3.799999952,3.680000067,3.680000067,3.62,2100
28/9/2023,3.640000105,3.700000048,3.599999905,3.700000048,3.64,14700
29/9/2023,3.839999914,3.839999914,3.599999905,3.640000105,3.58,5300
2/10/2023,3.660000086,3.720000029,3.599999905,3.700000048,3.64,10900
3/10/2023,3.720000029,3.720000029,3.5,3.5,3.44,25900
4/10/2023,3.700000048,3.700000048,3.5,3.599999905,3.54,33000
5/10/2023,3.660000086,3.700000048,3.660000086,3.660000086,3.60,6600
6/10/2023,3.619999886,3.700000048,3.619999886,3.640000105,3.58,6800
9/10/2023,3.640000105,3.640000105,3.559999943,3.599999905,3.54,6200
10/10/2023,3.519999981,3.660000086,3.519999981,3.559999943,3.50,1000
11/10/2023,3.640000105,3.660000086,3.640000105,3.640000105,3.58,5100
